Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,reviews
,Couple Leisure,Economy Class,Zurich to London,February 2022,,,,,1.0,1,no,,"✅ Trip Verified |  As a seasoned traveller and a loyal BA customer I am appalled at the company’s recent drop in standards. We were booked to fly from ZHR-LHR on a miles ticket in February 2022. When we arrived at check in several hours before our scheduled departure we were informed that we would have to pay for our baggage even though our ticket clearly included free checked baggage. We were held at check in for over an hour whilst the check in agent went to consult with her manager who then confirmed that we would have to pay to check in our baggage. We have no option but to pay this charge however as a result of this delay at check in arrived at the gate to find that our flight had closed. As this was the last flight of the day we were forced to find expensive overnight hotel accommodation. I tried contact BA Customer Services after this incident on numerous occasion however they didn’t bothered to respond. At the 3rd attempt, after I cc the CEO on my complaint I got a one line response saying that there was no free baggage included with our ticket. At this point I got my solicitor to write a letter and they finally agreed to refund my baggage charge. However they are refusing to compensate me for the missed flight and the considerable expenses and loss that I incurred as a result of their mistake."
Boeing 777,Couple Leisure,Business Class,Johannesburg to London Heathrow,April 2022,4.0,4.0,3.0,,3.0,3,yes,,"Not Verified |  Boarding on time, but unfortunately from ORT’s worst boarding gate, which obviously was beyond BA’s control. Crew were good but lacked the personal touch. Old style ying yang business class with total lack of storage space, and the 777 was showing it’s age. However we were told the aircraft was being taken out of service the following week to be upgraded to the new club suites. The cabin crew were good, food ok, wines a little disappointing. Overall a decent flight."
,Couple Leisure,Business Class,Miami to Zurich via London,May 2022,4.0,3.0,3.0,4.0,1.0,1,no,,"✅ Trip Verified |  Flight delays can happen, but the way BA handles such incidents in just way beyond. Our flight was delayed overnight, our connecting flight was missed, the overall delay resulted in more than 48 hours. Rechecking our bags took 4 hours standing in line. A rebooking to an earlier connection was denied, be it online or at the counter. Will certainly never fly BA again and do not recommend this airline."
Boeing 777-300,Family Leisure,Economy Class,Bridgetown to London ,May 2022,1.0,5.0,1.0,3.0,3.0,1,no,,"✅ Trip Verified |  Check in easy at BGI due to us checking flightradar24 and finding the flight was delayed by nearly 2 hours, no notification from the airlines so other passengers arrived earlier. Easy boarding in sequence numbers. Seat is a joke for 8 hour flight, no leg room on isle seat of 4, the seat in front frame blocks you stretching your legs and once the passenger in front reclines its even worse. Food is mediocre with poor choice and all of the drink choices had run out before the stewardess had arrived to my seat (only choice Coca-Cola, water or red wine. The connecting flight from LHR - MAN was cancelled with no contact from the airline, I only found out trying to book a seat on the return legs, with no alternative flight provided. We had to privately book a taxi from LHR to Manchester for 4 persons as this worked out cheaper than the train. The outbound flight was also a farce, no mention of Terminal change at LHR from 5 to 3, so quick turnaround changing terminals was chaotic and stressful for older relatives travelling with us. Overall shocking from British Airways and can guarantee I will never use them again."
,Family Leisure,Business Class,London to Malaga,May 2022,,,,,,2,no,,"Not Verified |  British Airways - Travel with Confidence. Probably the most unsuitable tag line, they should be ashamed. Back in October I booked a holiday to Punta Cana with BA only to have it cancelled early in 2022. Late last year I also booked Heathrow to Malaga for a family wedding in May. Guess what, a few weeks ago that also got cancelled. I had the chance to rebook with BA but with so many cancellations planned I was not willing to take the risk of not making my destination for such an important event, so applied for and received a refund. I have now also asked for my Executive Club account to be closed as I shall no longer be wasting my time booking with such a shambles of an airline. My suggestion is if you want to 'travel with confidence' choose another airline. Any airline."
,Couple Leisure,Business Class,Dubrovnik to London,May 2022,2.0,2.0,1.0,,4.0,1,no,,Not Verified |  Business class seating shown as a 2x2 configuration on the website is economy style with an unsold middle seat - not much more comfortable than economy. Meal service started with three options but was down to 2 options by row 5 (out of 8 in business class) and by row 6 where we were seated only one of us had 2 options then only grilled tofu was available for the rest of business class.
,Couple Leisure,Economy Class,Amsterdam to London,May 2022,2.0,1.0,1.0,,1.0,1,no,,✅ Trip Verified |  We arrived 3 and half hours before our flight the queues to BA was terrible. The airport security lines were not managed well. The gate was closing as we arrived after jogging to the gate (with asthma). It was by far the worst travelling experience i have ever had that i have experienced. All the airlines should put out a warning that you should arrive at least 4 hours before to have an enjoyable experience. Amsterdam is the worst airport I have experienced. 
,Business,Economy Class,Columbus to Nairobi via Chicago / London,May 2022,,,,,,1,no,,"✅ Trip Verified |  BA says that tickets are flexible and cancellation is free within 24 hrs. That reality is an absolutely miserable alternative. 8 hours after booking, I need to change my flight. I assume I will get a refund like their site says I will - that was apparently a lie. They actually give me a voucher. To request the voucher I have to sign away that I agree to the voucher despite not knowing how much money they will refund me and I might not get it for a week.  I am panicked so I try calling them. Of course, calling them does nothing. The hotline says that they are too busy. This happens again and again. So, I give up, submit the request online despite no guarantee of amount or timing. Luckily it shows up quickly, and I rebook. Then I need to change my booking again. I go to request a voucher again. This time the voucher code doesn't work on the website when I enter it. So here I am needing to rebook with a useless voucher. Finally I call the executive class phone line (which I am not a member of) and then eventually pick up and agree to help me. They do some thing on their back end and tell me that they will send the information to their booking department who will contact me in 72 hours."
,Solo Leisure,Economy Class,London to Geneva,March 2022,,,,,,1,no,,"Not Verified |  I have been battling a long overdue refund with BA regarding a flight originally booked in 2019... The flight was cancelled, a voucher was issued, another flight was booked using this voucher, and then again cancelled. After trying to use the voucher for a new flight, BA kept advising I couldn't as the voucher had been used. I asked them to check the status of that flight (as it never left) and the agent advised she didn't have access to that information. Two years in, I managed to speak to someone who recognised that either a voucher or refund was due and made a note on my record. I then decided to pursue a refund, as felt this would be less problematic. BA have acknowledged they owe me a refund. One phone call they said it will be with me in 18 working days. I then chased when it was long overdue. I was then told it will be with me in 21 working days. The refund never came. I try regularly to get through to Customer Service for the automated system to advise no agents are available. I have also sent two follow up messages via the case reference link they sent me, requesting an update, but with no response. Honestly feel very let down by BA who up until this, I felt were the more trustworthy and reliable airline. I suspect they will have ruined many trusted relationships with customers by now."
,Solo Leisure,Business Class,London to Mauritius,March 2022,,,,,1.0,1,no,,"✅ Trip Verified |  When I tried to check in, they required a certificate of insurance for Covid travel, but I did not have it, I tried for over 2 hours to get it issued, but my bank (where I had the travel insurance) the department that could issue the certificate was closed, it was 18:30. After a very long time, I got a cover letter which the bank sent to me, but then to be told I had missed the check in by 2 minutes. They would not let me board, and I missed the flight. So I contacted BA, and tried to rebook another departure flight, only to be told that because I missed my departing flight, my return flight had automatically been cancelled and this was BA policy. So then they worked out a new price to book the flights, but now the price was £3500. I originally paid £1500 for the flights. I then did a search on Google and found flights for £1100, flying out with Air Mauritius and returning with BA on the same flight I was originally supposed to return on. Unfortunately BA had made me miss 2 days of my holiday, I searched for over an hour but could not find anywhere on BA site that I needed the Insurance document. When I checked in for the Mauritius airways flight, they did not ask for the insurance document, and I had a lovely flight with no issues. Every time I fly with BA, I have a bad experience and I promise I will never fly with them again. "
A320,Solo Leisure,Economy Class,London Heathrow to Malaga,May 2022,3.0,2.0,1.0,1.0,1.0,3,no,1.0,✅ Trip Verified |  Another dreadful mediocre experience with BA to Malaga. This time boarding was by bus and to a remote stand with no Aircon. Then on flight the the Wi-Fi was erratic and guests couldn’t order food or drinks. Then the card payment system didn’t work so we gave up on ordering. Finally at Malaga we were held up and not allowed to leave the plane as the bags had to come off first in case 'we' caused the plane to go unbalanced? Really? It’s all one excuse after another with BA these days.
,Solo Leisure,Economy Class,Basel to Johannesburg via London,May 2022,1.0,2.0,2.0,2.0,1.0,2,no,1.0,"Not Verified | Basel to Johannesburg via London. Cancelled connection flight: confusing UI, still shows cancelled booking in my bookings, never sent a confirmation email for new flights.  Cant check-in. Could check-in online or via the app. Customer service is non-existent. Busy line, after 45min still no one there to help me check in."
A320,Couple Leisure,Business Class,Athens to London,May 2022,2.0,4.0,3.0,,3.0,2,no,2.0,"✅ Trip Verified |  Very low standards for Club Europe: there was no cabin divider in the aircraft, so no privacy or separate cabin as would be expected, aircraft not properly cleaned in Athens (there was full rubbish bag left in the seat pocket). No in-flight information as the in flight maps have long disappeared from European routes which is a shame. Staff was attentive though and tried their best."
Boeing 787,Solo Leisure,Premium Economy,London to Mexico City,April 2022,5.0,4.0,4.0,3.0,4.0,4,yes,,"✅ Trip Verified |  This flight was not affected by recent problems with BA and I was quite impressed by the British Airways Premium Economy product in a new Boeing 787. Overall, Premium Economy turned out to be premium and clearly a step up from Economy towards Business Class. Also, the Premium Economy product came across much better in the Boeing 787 than in the old B747 or even than in the B777. Seat was very comfortable and had nice leg room. Food, service and entertainment options were good. Clearly worth the extra money for Premium Economy."
,Business,Economy Class,Glasgow to New York,May 2022,3.0,4.0,4.0,4.0,1.0,1,no,4.0,"Not Verified |  British Airways continues to decline in customer service. I used to love this airline and now I have had three poor experiences back to back regarding their customer service on the phone with flight changes and vouchers. The most recent experience has cost me $3000 more than originally booked due to bad rep advice and multiple calls to the company. Even as part of the Executive Club (Silver) I continue to be left on hold for ages and in the last week have spent over 6 hours on the phone seeking support. At this rate, they have lost my trust."
,Solo Leisure,Economy Class,London Heathrow to Los Angeles,May 2022,1.0,5.0,,,4.0,1,no,,"Not Verified |  On my flight from LAX to LHR I paid to pick my seat for my flight back to LAX. I saw the $116 come out of my account the next day. As I’m adding in my booking the day before my flight, the website tells me I no longer have a booked seat and the seat I paid for has been sold to someone else. I spent an hour trying to find a way to contact their customer service and at first was told to DM the airline on Twitter which I find extremely inappropriate but I still reached out anyway because I was unable to find another way to contact them. On Twitter, I was told they were looking for an agent to help me and they never ended up responding. They just left my message unread. After about 6 hours of waiting for a Twitter DM back I ended up being able to find a chat line on their website. While talking to the agent on the chat line she informed me that they sold my seat to another customer and that she would book me a new seat, however she was unable to tell me where the seat was or how many people were in my row. After a frustrating conversation she was able to book me my original seat. Soon after I tried to pull up my booking in the British Airways app and was unable to find it. I would enter the booking reference and the site would say it was a success and the booking would show up once I refreshed the page but it did not. I continued to try and add the booking and the app would do the same thing every time, say it was a success then never add the booking. I’m not able to find the chat line again and I will not DM a company on Twitter with my support issues again. I’m extremely frustrated."
Boeing 777,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May 2022,5.0,5.0,5.0,5.0,5.0,5,yes,3.0,"✅ Trip Verified | Amazing flight and comfortable. The premium economy seats have been upgraded with a leg rest. New aircraft. Staff very friendly and professional. The food was great, beyond expectation."
,Solo Leisure,Economy Class,Los Angeles to London,May 2022,,,,,,1,no,,"✅ Trip Verified |  I booked a flight to London and paid, months in advance, to upgrade my seat to an isle side exit row (front of the cabin + more legroom). Upon check-in, my expensive upgrade had been given away to someone else, and I was left to choose a miserable middle seat near the toilet. I spent an entire afternoon calling customer service. If my call went through at all (the automated system simply hangs up when it decides they are too busy) I was placed on indefinite hold, replete with elevator music and an insincere guarantee that my call mattered. I was greeted by someone with a heavy accent, over a very low quality, hard to hear line (I am 32 and not deaf). Sometimes, they would purposely hang up before I said anything. Other times, they would purposely hang up after I stated my plight. IF I managed to persist through all of that, for hours on end, they would hang up purposely after ""needing"" to put me on hold once more to ""speak with their supervisor."" In the end, BA managed to swindle me for hundreds of dollars, and I booked with another airline on principle. "
Boeing 777,Solo Leisure,Economy Class,London to Cape Town,April 2022,2.0,1.0,2.0,,1.0,1,no,,"Not Verified |  We are on our way home after a 3 week holiday in the UK and have had all 4 flights with British Airways. Our 2 internal flights between London and Edinburgh were great due to the friendly staff and there were no complications, however, the 2 long haul flights have been a nightmare. Our initial flight from Cape Town to Heathrow was a full flight, the staff seemed very overwhelmed, they ran out of certain food and drinks and as we were in economy right at the back we got the ""leftovers"", my entertainment system was also not working. We are about to board the return flight from Heathrow to Cape Town and the check in process was horrific. I had booked through Expedia and somehow my return flight did not have a checked in bag allowance which I didn't realise until we checked in. I ended up having to pay an additional £85 for my bag, after being told to try do it under manage my booking on the app which was not possible and I also spent 20 minutes on hold trying to get through to the BA customer service number with no luck. We asked to speak to someone is person in terminal 5 and were told that they have no customer service desk in the main BA terminal.  Overall it took us about 2 hours to get me checked in after speaking to about 6 different staff members, none of which could help me. There was also a discrepancy with the baggage allowance as my friend I am traveling with was allowed 26kg and after paying to add my bag I was told it was overweight as I was only allowed 23kg and the bag was 24kg. Compared to having flown with other airlines I will never fly with BA again, the level of service is shocking compared to what you would expect."
,Solo Leisure,Economy Class,São Paulo to Milan via London,April 2022,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,✅ Trip Verified |  I would like to thank you for the great service. I am a handicap and my family and I were afraid of this trip because I was flying alone and had a layover in London of a few hours. I had to change terminals and everything but thanks to a great service my trip was amazing. They took great care of me and made sure I was doing well throughout the whole flight.
A321 Neo,Family Leisure,Business Class,Madrid to London Heathrow,April 2022,3.0,5.0,5.0,,5.0,4,yes,,"✅ Trip Verified | I connected into Madrid on Iberia and wrote a scathing review of their awful long haul business class service. British Airways short haul business class was in a totally different class. The cabin had 10 rows of seats in BC, a record for me. The staff met us at the door in a very cheerful way and this was a sign of the highly professional way they would continue to look after us throughout the flight. The messaging from cabin crew and flight crew was excellent. The food was first class, nothing was too much for the staff. Why, oh why can two members of the same company offer such different levels of sift and hard service? My thought is that it must be ingrained in the ethics of the company. British Airways keep up the good work, (it would be better if you had proper business class seats like some of your European competitors) overall you made me feel proud to be a Brit."
A320,Couple Leisure,Business Class,Dubrovnik to London Heathrow,April 2022,4.0,5.0,5.0,,5.0,5,yes,,"Not Verified |  We flew from Dubrovnik to Heathrow on the 24th April 2022. Check in was very fast and we cleared security in about 15 minute, we made our way up to the lounge which just has the basic essentials but was clean and spacious. When boarding time came we had priority boarding and was the first few to board, welcomed by the cabin crew and given wipes, once seated we left more or less on tme had the safety brief taxiing for take off. Once airborne it was soon time for the drinks and meal services, choice of 3 main meal options which was very good, served by very friendly crew, the captain kept us informed about the progress of the journey arrived at Heathrow slightly early. Overall a very pleasant trip. We will be flying again with British Airways"
,Business,Business Class,London to Aberdeen,April 2022,1.0,2.0,1.0,,3.0,1,no,,"✅ Trip Verified |  I have always chosen to not make a big deal of the poor service, delays, dirty aircraft, over packed lounges, cabin crew etc experienced over the years but have lost all patience with this airline. Having paid almost £1K extra to change our return flight for the family, to get a flight at a specific time, BA cancelled this and placed us on another flight almost 10 hours later. There was no option to get any of the other available flights. The business class lounge at LHR was packed with hardly any space to move. The aircraft was filthy with food wrapping papers on my seat and floor. The seats were uncomfortable. Food for business class passengers included bread rolls passed in a basket. The poor level of hygiene, overcrowding, delays, cancellations makes this the worst airline I have had to endure. "
A320,Solo Leisure,Business Class,Pisa to London Heathrow,March 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"✅ Trip Verified | Business lounge was closed at Pisa airport which was probably beyond the control of British Airways but as it had been closed since January the least British Airways could have done would have issued their customers who paid for this service vouchers to be used at the airport, I complained about this to BA and as compensation they said they would credit my account with 10000 Avios points which I felt was an adequate compensation and at that point felt BA had handled the situation in a prompt and professional manner. However that was seven weeks ago and no Avios points have been added to my account, I have called their call centre multiple times at one point being put on hold for an hour to put through to the right department, when the phone was answered I was told it was the wrong department and to phone a number which was read out to me which was the same number I was calling! This scenario has replayed itself probably about twenty times now, it is clear that BA have no intention of resolving this and are just making their customer go round in circles before they give up, This airline is absolutely appalling in the way it treats its customers."
Boeing 737 800,Couple Leisure,Economy Class,Johannesburg to Durban,April 2022,1.0,1.0,1.0,,1.0,1,no,,"Not Verified |  Our Good Friday flight was delayed by 5hours, STD 12.50 ATD 18.00 TO Durban, South Africa from Johannesburg. There were no announcements made, when approached no time frame was given, they simply didn't know. An aircraft had to be towed from a hanger at Johannesburg. Crew arrived late. The aircraft was filthy. We shall never fly Comair again that includes Kulula or BA absolutely shocking service."
A320,Couple Leisure,Economy Class,Gothenburg to Manchester via London,April 2022,3.0,3.0,1.0,,1.0,1,no,1.0,Not Verified |  We had a trip with 4 flights included. All 4 flights were delayed. The worst with 2h15min. Also one flight was cancelled and we were rebooked to a 4h earlier flight loosing 4h of our short vacation. No explanation or compensation was given for the cancelled flights or delays. I expected a lot better as I have earlier used BA with good results. This was a really bad experience and I will avoid using BA for any further travels.
Boeing 787,Solo Leisure,Business Class,Chicago to London,March 2022,5.0,5.0,5.0,4.0,3.0,4,yes,,"Not Verified |  My first time in the new Club World suite. Excellent, lots of space and privacy, very good seat. I doubt if this can be bettered. Good staff as ever. My only quibble is that the food is all served at once. BA needs to roll this out quickly!"
,Couple Leisure,Economy Class,Riyadh to Nice via London,April 2022,2.0,3.0,2.0,3.0,1.0,2,no,,"✅ Trip Verified |  I had an Incredible rude check in staff at the British Airways counter in Nice on 16th April 2022. Zero empathy towards me a struggling customer. Second situation happened when we arrived into Nice Terminal 1 on BA0262 13 April where my luggage did not make it on the same flight as me and had to put my details down for delivery. When our luggage arrived at Nice airport the day after and received an email from the AVIA Partner lost and found (British Airways Partner) at 13:14PM informing us that our luggage has now arrived in Nice. After multiple emails back and forth with emphasis on we were strongly expressing that I did not have clothes or shoes to wear and that we only had 3 short days in Monaco, it was vital we received the luggage ASAP, the lady replied “If it is so important why don’t you come and pick it up here at the airport or send your driver to pick it up” despite the fact that a proper delivery address was supplied to them from the very beginning. This has been an appalling experience."
,Couple Leisure,Business Class,London to Glasgow,April 2022,,,,,,1,no,,"✅ Trip Verified |  We booked a business class flight with Qantas from Melbourne to Glasgow via London. As Qantas fly to Heathrow, British Airways is their partner airline so we were automatically booked on BA from Heathrow to Glasgow. We booked this flight in October however 2 days before we were due to leave, we received an email from British Airways, advising that our flight from Heathrow to Glasgow has been cancelled. To help us out the email said, they had however booked us on another flight leaving from London City Airport, which is 26 miles from Heathrow Airport and the flight is going to Edinburgh, not Glasgow. Not sure how we were supposed to get from Glasgow, additionally it is in economy, not business class even though we had booked business class originally. We booked this as one connecting flight so British Airways know that we have just travelled 22 hours from Australia. There was no mention in the email about compensation for the change of class or additional travel costs in getting to another airport, nothing about possibly not accepting the flight given it was obviously never going to work for us and no contact details for British Airways. They also sent the email on Good Friday so even when I did eventually find a contact number, their office was closed. I have never experienced such terrible customer service with any airline I have ever flow on and I can guarantee I will never fly British Airways again. "
A380,Family Leisure,Economy Class,Glasgow to Washington via London,April 2022,4.0,5.0,4.0,3.0,4.0,3,yes,3.0,"Not Verified |  The service was very good, the cabin crew were very kind and the boarding was very quick for an aircraft of this size. The seat was comfortable for economy and because the A380 walls are still expanding outwards on the first floor, there was a lot of space. The food was good for airplane food. The only bad thing was the ife screen was quite outdated and wasn't good quality, however there was a large selection of movies and TV shows"
A320neo,Business,Business Class,Malaga to London,April 2022,2.0,4.0,2.0,,2.0,2,no,1.0,"✅ Trip Verified |  Total chaos for departures immigration at Malaga Airport. Boarding was quick, polite welcome by cabin crew. Beverage cart after take off was prompt, followed by lunch with a choice of 3 entrees. Food can best be described as wholesome, but not meeting quality levels of Air France, Swiss or Lufthansa short haul business class meals. Menu is still missing, and like many other aspects of the experience, BA cut a lot during Covid and have not reintroduced. I wouldn't mind, but on European trips in 2022, BA are charging up to 3 times the fare levels of 2019, and the overall value for money is now very poor. The WiFi did not work from start to finish of the flight. Crew said it had worked on the way out and the Captain had contacted London to get it fixed on the return. BA is becoming more and more shambolic, blaming far too much on Covid and it is time they took some responsibility for their failings.
"
,Couple Leisure,Economy Class,Nice to Dallas via London,April 2022,5.0,5.0,4.0,5.0,5.0,4,yes,5.0,"Not Verified |  Shout out to the help desk at Heathrow, we arrived to late to make our flight and the lady (with 32 years exp) was great, she had a tough crowd to deal with and was very kind and helpful in getting us a place to stay, food to eat and a flight home the next day."
,Solo Leisure,Economy Class,London to Paris,March 2022,1.0,1.0,1.0,,1.0,3,no,,"Not Verified |  I am constantly amazed how British Airways continue to get things wrong - I pretty much though they had covered all those bases and in the last 15 years living in the UK, I have watched their decline with great sadness. My flight to Paris was no exception. Not only was the flight late, overcrowded and not managed at all by disinterested staff - that we sat on the tarmac, full boarded for one hour while we waited for catering to be loaded on (front and then back) left me gobsmacked. As they barely offer any food service anyway (small packet of crisps and an even smaller bottle of water) on a 45 minute flight, I wondered why they thought it was good operational planning to delay a whole plane load of passengers so that 6 people in business class could speedily eat a poor quality meal on the flight to Paris. As it transpired I was over 90 minutes late and missed the meeting I was flying to Paris to attend. Never again."
A320 / Boeing 777,Couple Leisure,Business Class,Phoenix to Paris via London,April 2022,3.0,2.0,2.0,1.0,2.0,2,no,,"✅ Trip Verified |  The short haul flights were the best with the crew on the final leg giving the excellent service that we all hope for. We chose out flights very carefully so that we were booked on flights with the Club World Suits not the Ying Yang arrangement that they still offer. At the last minute the aircraft was changed so we had to put up with the ying yang which really should have been pensioned off ages ago! Most business class offer 4 across but this layout still squeezes in 8 across. As we only take one long haul leisure trip a year in Business Class we always lose out on the ""Points game"" but I take exception to having paid in full on a non refundable basis not to be allowed to reserve my seats. The points gained from this trip alone would have allowed us Bronze status but we were not given this status until after the trip when it is useless to us. This status would have allowed us to book the seats 7 days prior to departure, when they were still available, rather than the 24 hours when they were not available. On the long haul return flight I was unable to book a window seat but on boarding after the doors had closed there was a window seat still vacant. I asked if I could move and was told by the FA she would check. Nothing happened but after take-off a passenger was moved from economy to that seat. Judging by the interaction between them I would bet it was someone on Staff Travel. I think it disgraceful that a full fare paying passenger should be treated like this. Take-off was just after 1930 hrs but we were not offered a drinks service before supper but were told we could order a drink that would be delivered on out tray with the meal. Had we done this our meal would have been cold by the time we ate it. In summary would I ever fly with BA again? No, not if I had half a chance of going with another airline. "
Boeing 777-200,Business,Business Class,Phoenix to London Heathrow,April 2022,5.0,5.0,5.0,5.0,4.0,5,yes,3.0,"✅ Trip Verified |  A very comfortable (new suite) flight with great service and good food. Crew was wonderful New seat is great, except the shoulder strap is very uncomfortable. Entertainment great. Wifi was annoying, cutting off and needing constant reconnecting. Generally a positive experience."
,Couple Leisure,Economy Class,Santorini to Los Angeles via London,April 2022,1.0,1.0,1.0,,1.0,1,no,,"✅ Trip Verified | British Airways is the most terrible airline I’ve dealt with. They have caused our family extreme stress and disappointment - we have tried for a week now to speak to someone as we can’t make the changes online. They hang up on you every time you call them - we have been driven to despair by their treatment of their customers. You can’t check in online, the application sucks so much you’re better off trying to code your own app and it’ll probably work better, every time you try to check in you are taken to a page that says we can’t verify your documents yet the app and website say you’re verified and ready to go. You upgrade and pay for upgrade and it says it’s guaranteed and then when you go to check in which you have to go to the airport for because online won’t work, they give you a different seat than you paid for and a lower class and offer nothing in return.  I hope I never have the misfortune of getting stuck flying with British Airways ever again."
,Family Leisure,Business Class,London to Tokyo,June 2022,,,,,,1,no,,✅ Trip Verified |  British Airways is the most terrible airline I’ve ever dealt with. They have caused our family extreme stress and disappointment - we have tried for a week now to speak to someone as we can’t make the changes online. They hang up on you every time you call them - we have been driven to despair by their treatment of their customers. I have no choice but to cancel our chance of a life time trip we’d booked with our 2 18 year old boys as they were flying with another airline and would have been alone in Japan as BA just cancelled our trip and we cannot rebook online as the trip was booked with avios and companion vouchers.
Embraer,Solo Leisure,Business Class,Edinburgh to London City,April 2022,5.0,5.0,5.0,,5.0,4,yes,,"Not Verified |  BA is getting a real bashing on this forum and I thought I'd buck the trend and report a virtually flawless experience of a short hop from EDI to LCY on BA8703 this Monday. Easy check in, decent lounge experience except the very amiable staff were still forced to serve from behind barriers, very clean plane which left on time, ridiculous amount of legroom in 2D (it is a bulkhead seat but with lots more space than 1A or C), reasonable cooked breakfast served by a very attentive and capable CSM and arrived 15 mins earlier than scheduled. What's not to like, which is my overall experience with the vast majority of my BA experiences over the last 25 years. Anyway I thought it would be nice to read a positive review for once."
Boeing 777-200ER,Solo Leisure,Business Class,Vancouver to London,March 2022,4.0,4.0,4.0,4.0,2.0,5,yes,5.0,"Not Verified |  New Club Suites are amazing, the only let down is the bed is a little too firm but the pillow was the most comfortable pillow I have ever used. Food was ok as I have had better on BA in the past and I can understand why they put everything on a single tray which is OK. The cabin crew were brilliant but I was surprised that after dinner the crew didn’t once come round with beverages or even bottled water. BA really have a great hard product here and I would suspect the soft product will improve once Covid restrictions become less of an issue. Well done BA."
A319,Couple Leisure,Business Class,London to Venice,March 2022,2.0,4.0,2.0,,2.0,3,yes,,✅ Trip Verified | Very small plane for a busy route. Service was good but food not so. Ran out of a lot and options left were not good. Cabin crew for BA actually really friendly.
A320,Business,Business Class,London to Barcelona,April 2022,1.0,1.0,1.0,,1.0,1,no,,"✅ Trip Verified |  BA continue to charge a premium for the most disgusting service, provided by people who shouldn't be in customer service, on tired, dirty and cramped aircraft. Out of 11 flights this year, not one has managed to depart or arrive at their destinations on-time. Including having 3 business class tickets cancelled and an alternative in economy being offered, still no refunds 3 months on and had a flight late and missed connection, so BA cancelled the rest of my ticket, leaving me stranded in the US. "
Boeing 777,Couple Leisure,Business Class,Barbados to Heathrow,March 2022,2.0,3.0,3.0,1.0,4.0,3,yes,,"✅ Trip Verified |  Flew back on BA0254 Bridgetown to Heathrow in the old Club Class. A huge disappointment after going out in the new Club Class suites - the end of this awful yin and yang seating can't come soon enough. Even tried to pay BA's extortionate pre-booking rate for our seats - none left to choose even weeks ahead. My wife and I were stuck in the middle 2 seats of 4 - 13E and F. Good job it was an overnighter so we managed to sleep a bit and not have to climb over our neighbours very often. The March film selection so not good. Not particularly friendly FA who insisted face masks must be worn even though BA's policy has changed regarding flying back to a non-mask wearing destination (ie. London). Sort it out BA. Took off 20 minutes late but big tailwind so more than made up the time on a relatively smooth flight. Dinner not to bad but breakfast - fairly dire. My wife's smoked salmon bagel was dreadful. As usual when BA is good, it's really good but when it's bad it's awful. I recommend hesitatingly - come on BA, be great again. We pay a lot for ""premium"" seats."
,Business,Economy Class,Heathrow to Bologna,April 2022,1.0,1.0,,,1.0,1,no,,"Not Verified |  The worst budget airline I’ve ever used! Far worse than Ryanair and I refuse to fly with them even though they’re basically free. BA charge about 10x as much as other budgets but have the worst service. Spent an hour checking in because their outdated computers crashed. They left us sat on the plane for over 2 hours because they couldn’t connect to the internet, then left 50% of our luggage behind because they would have had to refund everyone’s flights if they waited another 10 mins for the other luggage trolleys to arrive. It took three days to return it and cost us £100s. Then on return I’ve now been sat here nearly two hours and there’s no sign of our luggage again. I don’t know how a company can be this incompetent but I’ll be pursuing for compensation. I have some free flights from Amex but I won’t be using them because it’s not worth going through this again."
A320,Business,Business Class,Geneva to London,April 2022,4.0,5.0,4.0,,1.0,4,no,3.0,"✅ Trip Verified | First, the actual flights are fine and the staff on all 3 flights (ZRH-LHR, GVA-LHR & LHR-ZRH), first 2 in Economy, are absolutely fine, chatty and friendly, they are a credit to the company. The infrastructure however is appalling. ZRH-LHR impossible to check-in online and just 2 staff to check-in everyone for 2 flights resulting in mislabelled luggage and an hour delay to sort this out. GVA-LHR, 2.5hrs late as no-one at LHR to tow the aircraft to the gate. LHR-ZRH, 50mins late due to slow gate staff. Even when you check-in online you have to queue at the airport to get the actual boarding pass! There are more examples, and for this reason, until they sort out their stressed ground staff, it is impossible to recommend this airline. Onboard 10/10, getting to be onboard 1/10."
,Solo Leisure,Economy Class,London to Singapore,April 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"✅ Trip Verified |  Have not flown economy with BA for years, what a shock! Hard uncomfortable seats, small aged tv screens with limited inflight entertainment. Food and service appalling. 13hr plus flight, no socks, eye shades, ear plug amenity pack. And no antibacterial wipes offered. Wi-Fi advertised but not available on flight. Paid premium money for a budget airline, more akin to Easy Jet, RyanAir or JetStar. My last time travelling with BA after more than 18 years of flying with them. BA you really do need to buck up your service and become the flagship Service you used to be."
